RunID	Sequenced	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
Auto-user-YGProton6-683-IONA-Test-20190228-B				0	0/	0/	0/			1
Auto-user-YGProton6-632-IONA-Test-20181228-A				0	0/	0/	0/			1
Auto-user-YGProton6-668-IONA-Test-20190215-A				0	0/	0/	0/			1
Auto-user-YG3-731-IONA-Test-20180207-A				0	0/	0/	0/			1
Auto-user-YGProton6-501-IONA-Test-20180309-B1				0	0/	0/	0/			1
Auto-user-YGProton6-565-IONA-Test-20180925-B				0	0/	0/	0/			1
Auto-user-YGProton6-594-IONA-Test-20181119-A1				0	0/	0/	0/			1
Auto-user-YGProton6-738-IONA-Test-20190424-A				0	0/	0/	0/			1
Auto-user-YG3-904-IONA-Test-20181012-B				0	0/	0/	0/			1
Auto-user-YGProton6-707-IONA-Test-20190321-B1				0	0/	0/	0/			1
Auto-user-YG3-827-IONA-Test-20180530-A				0	0/	0/	0/			1
Auto-user-YG3-810-IONA-Test-20180427-B				0	0/	0/	0/			1
Auto-user-YGProton6-637-IONA-Test-20190102-B				0	0/	0/	0/			1
Auto-user-YGProton6-678-IONA-Test-20190225-A2				0	0/	0/	0/			1
Auto-user-YG3-925-IONA-Test-20181127-A				0	0/	0/	0/			1
Auto-user-YGProton6-705-IONA-Test-20190320-B				0	0/	0/	0/			1
Auto-user-YG3-814-IONA-Test-20180502-B2				0	0/	0/	0/			1
Auto-user-YG3-958-IONA-Test-20190118-B				0	0/	0/	0/			1
Auto-user-YG3-813-IONA-Test-20180502-A2				0	0/	0/	0/			1
Auto-user-YGProton6-542-IONA-Test-20180719-A1				0	0/	0/	0/			1
Auto-user-YGProton6-535-IONA-Test-20180710-B				0	0/	0/	0/			1
Auto-user-YGProton6-631-IONA-Test-20181227-B1				0	0/	0/	0/			1
Auto-user-YG3-832-IONA-Test-20180607-B				0	0/	0/	0/			1
Auto-user-YG3-746-IONA-Test-20180226-B2				0	0/	0/	0/			1
Auto-user-YG3-905-IONA-Test-20181015-A2				0	0/	0/	0/			1
Auto-user-YGProton6-669-IONA-Test-20190215-B				0	0/	0/	0/			1
Auto-user-YG3-912-IONA-Test-20181026-B				0	0/	0/	0/			1
Auto-user-YG3-777-IONA-Test-20180322-A				0	0/	0/	0/			1
Auto-user-YG3-829-IONA-Test-20180605-A				0	0/	0/	0/			1
Auto-user-YGProton6-740-IONA-Test-20190426-A				0	0/	0/	0/			1
Auto-user-YGProton6-730-IONA-Test-20190418-A				0	0/	0/	0/			1
Auto-user-YGProton6-493-IONA-Test-20180305-B1				0	0/	0/	0/			1
Auto-user-YGProton6-489-IONA-Test-20180301-B1				0	0/	0/	0/			1
Auto-user-YG3-864-IONA-Test-20180821-B2				0	0/	0/	0/			1
Auto-user-YG3-847-IONA-Test-20180731-A				0	0/	0/	0/			1
Auto-user-YG3-984-IONA-Test-20190314-B2				0	0/	0/	0/			1
Auto-user-YGProton6-715-IONA-Test-20190328-B				0	0/	0/	0/			1
Auto-user-YGProton6-524-IONA-Test-20180622-A				0	0/	0/	0/			1
Auto-user-YG3-787-IONA-Test-20180330-A				0	0/	0/	0/			1
Auto-user-YG3-959-IONA-Test-20190121-A2				0	0/	0/	0/			1
Auto-user-YG3-826-IONA-Test-20180523-B				0	0/	0/	0/			1
Auto-user-YG3-739-IONA-Test-20180221-A2				0	0/	0/	0/			1
