RunID	Sequenced	Analyzed	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
141107_NS500104_0097_AH183BBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150603_NB500911_0003_AHCH3CBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150604_NB500911_0004_AHCGT7BGXX_3	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150611_NB500908_0004_AHCH5NBGXX_re	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150611_NB500911_0005_AHCH5CBGXX_2	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150617_NB500908_0005_AHCG37BGXX_2	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150617_NB500911_0006_AHCGNWBGXX1	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150623_NB500908_0006_AHCGJWBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150714_NB500908_0007_AHFYJNBGXX_re	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150715_NB500908_0008_AHGFHTBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150715_NB500911_0007_AHGFHLBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150720_NB500911_0008_AHFYJTBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150722_NB500908_0009_AHFYVWBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150724_NB500911_0009_AXXXXXXXXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150730_NB500911_0010_AXXXXXXXXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150731_NB500908_0010_AHG25FBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150805_NB500908_0011_AHG2CLBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150805_NB500911_0011_AHFYK3BGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150806_NB500908_0012_AHG2CHBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150806_NB500911_0012_AHFYGTBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150807_NB500908_0013_AHG25NBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150807_NB500911_0013_AHFYGGBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150811_NB500908_0014_AHG27CBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150811_NB500911_0014_AHGFHMBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150812_NB500908_0015_AHGC72BGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150812_NB500911_0015_AHG272BGXX_2	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150813_NB500908_0016_AHG2C3BGXX_4	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150813_NB500911_0016_AHFYK5BGXX_ERROR1	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150813_NB500911_0016_AHFYK5BGXX_RE	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150814_NB500908_0017_AHFYJ7BGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150814_NB500911_0017_AHG25LBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150818_NB500911_0018_AHFYGCBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150824_NB500911_0019_AHFYJCBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150827_NB500908_0018_AHFYGHBGXX_1	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150827_NB500911_0020_AHGC3YBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150831_NB500908_0019_AHFYG7BGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150831_NB500911_0021_AHGFJ5BGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150901_NB500911_0022_AHFYJ5BGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150916_NB500908_0020_AHG7TWBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150917_NB500911_0023_AHFYTNBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150921_NB500908_0021_AHGKMKBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150921_NB500911_0024_AHGKGHBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150922_NB500908_0022_AHG25HBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150922_NB500911_0025_AHGK5VBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150923_NB500908_0023_AHGKC7BGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150925_NB500908_0024_AHGKFNBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
150926_NB500908_0025_AHGKMVBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
151001_NB500908_0026_AHGK5HBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
151001_NB500911_0026_AHGKCJBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
151005_NB500908_0027_AHGK5JBGXX	1	1	65/65	1	65/65	65/65	15/15	15/15	1	0	1
