RunID	Sequenced	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
150812_M02559_0124_000000000-AFNT3	1	1	1	1	1	1	1	0	0	1
150820_M02559_0126_000000000-AFNNA	1	1	1	1	1	1	1	0	0	1
150825_M02559_0127_000000000-AGAYE	0	0	0	1	1	1	1	0	0	1
150901_M02559_0128_000000000-AFNTE	0	0	0	1	1	1	1	0	0	1
150902_M02559_0129_000000000-AGAUV	0	0	0	1	1	1	1	0	0	1
150904_M02559_0130_000000000-AH6BY	0	0	0	1	1	1	1	0	0	1
150907_M02559_0131_000000000-AH6BW	0	0	0	1	1	1	1	0	0	1
150910_M02559_0132_000000000-AFNND	0	0	0	1	1	1	1	0	0	1
150914_M02559_0133_000000000-AH5U3	0	0	0	1	1	1	1	0	0	1
150915_M02559_0134_000000000-AHBVF	0	0	0	1	1	1	1	0	0	1
150921_M02559_0135_000000000-AHE32	0	0	0	1	1	1	1	0	0	1
150922_M02559_0136_000000000-AGMAU	0	0	0	1	1	1	1	0	0	1
150923_M02559_0137_000000000-AJ4EY	0	0	0	1	1	1	1	0	0	1
151006_M02559_0138_000000000-AHNGU	0	0	0	1	1	1	1	0	0	1
151008_M02559_0139_000000000-AH689	0	0	0	1	1	1	1	0	0	1
151012_M02559_0140_000000000-AHNDG	0	0	0	1	1	1	1	0	0	1
151020_M02559_0141_000000000-AHNGJ	0	0	0	1	1	1	1	0	0	1
151026_M02559_0142_000000000-AHNH1	0	0	0	1	1	1	1	0	0	1
151103_M02559_0143_000000000-AHNGA	0	0	0	1	1	1	1	0	0	1
151105_M02559_0144_000000000-AHNGP	0	0	0	1	1	1	1	0	0	1
151106_M02559_0145_000000000-AH6CH	0	0	0	1	1	1	1	0	0	1
151117_M02559_0146_000000000-AJ3GK	0	0	0	1	1	1	1	0	0	1
151127_M02559_0147_000000000-AJYGF	0	0	0	1	1	1	1	0	0	1
151208_M02559_0148_000000000-AJG9E	0	0	0	1	1	1	1	0	0	1
151211_M02559_0149_000000000-AJY22	0	0	0	1	1	1	1	0	0	1
151214_M02559_0150_000000000-AJFR5	0	0	0	1	1	1	1	0	0	1
151224_M02559_0151_000000000-AJG3K	0	0	0	1	1	1	1	0	0	1
151225_M02559_0152_000000000-D0RNM	0	0	0	1	1	1	1	0	0	1
151228_M02559_0153_000000000-D0RNM	0	0	0	1	1	1	1	0	0	1
151230_M02559_0154_000000000-AJEWP	0	0	0	1	1	1	1	0	0	1
151231_M02559_0155_000000000-AJYGA	0	0	0	1	1	1	1	0	0	1
160112_M02559_0156_000000000-AJJTJ	0	0	0	1	1	1	1	0	0	1
160126_M02559_0157_000000000-AJY70	0	0	0	1	1	1	1	0	0	1
160130_M02559_0158_000000000-AL19E	0	0	0	1	1	1	1	0	0	1
160204_M02559_0159_000000000-AJEWY	0	0	0	1	1	1	1	0	0	1
160225_M02559_0160_000000000-AM2L4	0	0	0	1	1	1	1	0	0	1
160304_M02559_0161_000000000-G06B9	0	0	0	1	1	1	1	0	0	1
160315_M02559_0162_000000000-AJG72	0	0	0	1	1	1	1	0	0	1
160324_M02559_0163_000000000-AJYLN	0	0	0	1	1	1	1	0	0	1
160330_M02559_0164_000000000-D0TCN	0	0	0	1	1	1	1	0	0	1
160406_M02559_0165_000000000-AJYLD	0	0	0	1	1	1	1	0	0	1
160414_M02559_0166_000000000-D0TBF	0	0	0	1	1	1	1	0	0	1
160415_M02559_0167_000000000-AJ4NG	0	0	0	1	1	1	1	0	0	1
160419_M02559_0168_000000000-AJYLL	0	0	0	1	1	1	1	0	0	1
160420_M02559_0169_000000000-AJYLL	0	0	0	1	1	1	1	0	0	1
160420_M02559_0170_000000000-AJ4N8	0	0	0	1	1	1	1	0	0	1
160421_M02559_0171_000000000-AJEWL	0	0	0	1	1	1	1	0	0	1
160429_M02559_0172_000000000-AJNH4	0	0	0	1	1	1	1	0	0	1
160504_M02559_0173_000000000-AJYEY	0	0	0	1	1	1	1	0	0	1
160505_M02559_0174_000000000-AJ4NV	0	0	0	1	1	1	1	0	0	1
160511_M02559_0175_000000000-AJYFY	0	0	0	1	1	1	1	0	0	1
160512_M02559_0176_000000000-D20WA	0	0	0	1	1	1	1	0	0	1
160519_M02559_0177_000000000-AJYMB	0	0	0	1	1	1	1	0	0	1
160525_M02559_0178_000000000-AJYM8	0	0	0	1	1	1	1	0	0	1
160526_M02559_0179_000000000-AKK51	0	0	0	1	1	1	1	0	0	1
160528_M02559_0180_000000000-AMN2G	0	0	0	1	1	1	1	0	0	1
160530_M02559_0181_000000000-AJT2F	0	0	0	1	1	1	1	0	0	1
160603_M02559_0182_000000000-AKKP3	0	0	0	1	1	1	1	0	0	1
160606_M02559_0183_000000000-AMM5U	0	0	0	1	1	1	1	0	0	1
160607_M02559_0184_000000000-AKKNR	0	0	0	1	1	1	1	0	0	1
160618_M02559_0185_000000000-AMN3H	0	0	0	1	1	1	1	0	0	1
160619_M02559_0186_000000000-AMM6C	0	0	0	1	1	1	1	0	0	1
160621_M02559_0187_000000000-G063W	0	0	0	1	1	1	1	0	0	1
160624_M02559_0188_000000000-AMV0Y	0	0	0	1	1	1	1	0	0	1
160629_M02559_0189_000000000-AMV2K	0	0	0	1	1	1	1	0	0	1
160629_M02559_0190_000000000-AL0EA	0	0	0	1	1	1	1	0	0	1
160707_M02559_0191_000000000-AKK50	0	0	0	1	1	1	1	0	0	1
160712_M02559_0192_000000000-AMV1R	0	0	0	1	1	1	1	0	0	1
160727_M02559_0193_000000000-AL48M	0	0	0	1	1	1	1	0	0	1
160729_M02559_0194_000000000-AMVCV	0	0	0	1	1	1	1	0	0	1
160730_M02559_0195_000000000-ALTG5	0	0	0	1	1	1	1	0	0	1
160801_M02559_0196_000000000-AT12J	0	0	0	1	1	1	1	0	0	1
160804_M02559_0197_000000000-AU0RF	0	0	0	1	1	1	1	0	0	1
160810_M02559_0198_000000000-AN7FH	0	0	0	1	1	1	1	0	0	1
160811_M02559_0199_000000000-AULNB	0	0	0	1	1	1	1	0	0	1
160819_M02559_0200_000000000-AN79L	0	0	0	1	1	1	1	0	0	1
160823_M02559_0202_000000000-AN7MW	0	0	0	1	1	1	1	0	0	1
160824_M02559_0203_000000000-G105D	0	0	0	1	1	1	1	0	0	1
160902_M02559_0204_000000000-APH8Y	0	0	0	1	1	1	1	0	0	1
160905_M02559_0205_000000000-D0TBM	0	0	0	1	1	1	1	0	0	1
160909_M02559_0206_000000000-D0REP	0	0	0	1	1	1	1	0	0	1
160913_M02559_0207_000000000-ANKJY	0	0	0	1	1	1	1	0	0	1
160930_M02559_0208_000000000-AMV3A	0	0	0	1	1	1	1	0	0	1
161006_M02559_0209_000000000-AMV8G	0	0	0	1	1	1	1	0	0	1
161010_M02559_0210_000000000-AMV60	0	0	0	1	1	1	1	0	0	1
161020_M02559_0211_000000000-AN1HF	0	0	0	1	1	1	1	0	0	1
161021_M02559_0212_000000000-ALTWE	0	0	0	1	1	1	1	0	0	1
161024_M02559_0213_000000000-ATV7B	0	0	0	1	1	1	1	0	0	1
161102_M02559_0214_000000000-AU9UF	0	0	0	1	1	1	1	0	0	1
161103_M02559_0215_000000000-AU9UF	0	0	0	1	1	1	1	0	0	1
161103_M02559_0216_000000000-AU9UF	0	0	0	1	1	1	1	0	0	1
161108_M02559_0217_000000000-G10V9	0	0	0	1	1	1	1	0	0	1
161116_M02559_0218_000000000-ARR3Y	0	0	0	1	1	1	1	0	0	1
