	totalTime	sequencedTime	analyzedTime	ondellTime	convertedTime	incloudTime	downloadedTime	jobsubmittedTime	jobcompletedTime	backtodellTime
191203_NB551141_0849_AHL77VBGXC	35272	21945	7775	0	0	3886	555	0	834	277
191204_NB500908_1284_AHKTN2BGXC	29997	19442	9444	0	0	0	0	0	833	278
191204_NB500911_1284_AHKTMCBGXC	26109	20832	3888	0	0	0	278	0	833	278
191204_NB551141_0850_AHL33FBGXC	34440	21387	11942	0	0	0	0	0	833	278
191205_NB500908_1285_AHKT5TBGXC	45549	23053	6390	0	0	14994	278	0	556	278
191205_NB500911_1285_AHL5YNBGXC	38327	19442	6667	0	0	5278	4442	0	833	1665
191205_NB551141_0851_AHL33KBGXC	39438	20553	12222	0	0	3332	2220	0	1111	0
191206_NB500911_1286_AHL3V3BGXC	27496	19999	6386	0	0	0	0	0	833	278
191206_NB551141_0852_AHKT77BGXC	26941	19998	5832	0	0	0	0	0	833	278
191207_NB500908_1286_AHKTM5BGXC	25835	19724	5000	0	0	0	0	0	833	278
191209_NB500911_1287_AHL5Y3BGXC	26131	19461	4724	0	0	0	0	0	1668	278
191209_NB551141_0854_AHL72NBGXC	30855	20572	8338	0	0	0	0	0	1668	277
191210_NB500908_1288_AHL5YWBGXC	29467	22239	5838	0	0	0	0	0	1112	278
191210_NB500911_1288_AHL3V5BGXC	25018	19459	4448	0	0	0	0	0	1111	0
191210_NB551141_0855_AHL3TMBGXC	32804	19738	11953	0	0	0	0	0	835	278
191211_NB500908_1289_AHL72JBGXC	26521	19740	4724	0	0	0	722	112	945	278
191211_NB500911_1289_AHL72MBGXC	30191	20851	8172	0	0	0	0	0	945	223
191211_NB551141_0856_AHL72LBGXC	34806	21962	11731	0	0	0	0	0	1057	56
191212_NB500911_1290_AHL5YYBGXC	25686	19737	4782	0	0	0	0	0	1000	167
191212_NB551141_0857_AHL3NWBGXC	30468	20849	8117	0	0	0	0	0	1224	278
191213_NB500908_1290_AHL72HBGXC	25467	19744	4500	0	0	0	0	0	1056	167
191213_NB551141_0858_AHKTN3BGXC	29916	20855	7837	0	0	0	0	0	1001	223
191216_NB500908_1291_AHKTMTBGXC	29465	19181	8505	0	0	0	0	0	1390	389
191216_NB500911_1291_AHKT72BGXC	25963	20293	3724	0	0	0	0	0	1613	333
191217_NB500908_1292_AHL777BGXC	25189	19461	4505	0	0	0	0	0	945	278
200121_NB500908_1316_AHJJ5NBGXC	0	0	0	0	0	0	0	0	0	0
200121_NB500911_1318_AHJHKYBGXC	0	0	0	0	0	0	0	0	0	0
200121_NB551141_0889_AHJ7YMBGXC	0	0	0	0	0	0	0	0	0	0
200122_NB500908_1317_AHJ7YJBGXC	0	0	0	0	0	0	0	0	0	0
200122_NB500911_1319_AHJ7YYBGXC	0	0	0	0	0	0	0	0	0	0
200122_NB551141_0890_AHJNGYBGXC	0	0	0	0	0	0	0	0	0	0
200123_NB500911_1320_AHJGYLBGXC	0	0	0	0	0	0	0	0	0	0
200127_NB500908_1319_AHJHJFBGXC	0	0	0	0	0	0	0	0	0	0
200127_NB551141_0892_AHJKV3BGXC	0	0	0	0	0	0	0	0	0	0
200128_NB500911_1321_AHJHJTBGXC	47722	20556	4723	0	0	0	0	0	1000	21443
200128_NB551141_0893_AHJH73BGXC	71554	21667	8057	0	0	0	18054	0	999	22777
200129_NB551141_0894_AHJHJWBGXC	46776	20278	4167	0	0	0	0	0	889	21442
200130_NB500908_1320_AHJHMHBGXC	27601	20545	5334	0	0	0	0	0	1333	389
200130_NB500911_1322_AHJ7Y2BGXC	31767	21934	8611	0	0	0	0	0	1056	166
200131_NB500911_1323_AHJJ7HBGXC	25783	20449	4111	0	0	0	0	0	945	278
200131_NB500908_1321_AHJHMVBGXC	30949	21671	7278	0	0	0	0	167	1611	222
200201_NB500911_1324_AHJ7NFBGXC	25727	20283	4166	0	0	0	0	0	1000	278
200203_NB551141_0897_AHJKHMBGXC	27174	21674	3945	0	0	0	0	0	1222	333
200203_NB500908_1323_AHJHMWBGXC	31620	20563	9723	0	0	0	0	56	889	389
200204_NB500911_1325_AHJN2JBGXC	27161	20553	5331	0	0	0	0	0	944	333
200204_NB551141_0898_AHJ7YNBGXC	31271	21664	8330	0	0	0	0	0	943	334
200204_NB500908_1324_AHJKTGBGXC	35659	23885	10553	0	0	0	0	0	999	222
200205_NB551141_0899_AHJMY2BGXC	26844	20569	4720	0	0	0	0	0	1333	222
200205_NB500908_1325_AHMGYVBGXC	26055	19723	5054	0	0	0	0	0	1000	278
200205_NB500911_1326_AHMH2LBGXC	29943	20612	8054	0	0	0	0	0	944	333
200205_NB551141_0900_AHMGYWBGXC	30720	19722	9720	0	0	0	0	0	1055	223
200206_NB500908_1326_AHMGYYBGXC	26265	19713	4997	0	0	0	56	0	1166	333
200206_NB500911_1327_AHMGYMBGXC	30431	20823	8387	0	0	0	0	0	999	222
200206_NB551141_0901_AHMGWGBGXC	35152	21934	11941	0	0	0	0	0	999	278
200207_NB500908_1327_AHMH27BGXC	26278	20003	5053	0	0	0	0	0	944	278
200207_NB551141_0902_AHMFTWBGXC	30778	22224	6942	0	0	0	0	0	1112	500
200207_NB500911_1328_AHMGYNBGXC	35166	21114	12774	0	0	0	0	0	1056	222
200208_NB500908_1328_AHM7NFBGXC	25717	19717	4723	0	0	0	0	0	1000	277
