	totalTime	sequencedTime	analyzedTime	ondellTime	convertedTime	incloudTime	downloadedTime	jobsubmittedTime	jobcompletedTime	backtodellTime
200407_NB500911_1377_AH3WJGBGXF	30172	21670	6943	30	30	30	30	30	704	705
200407_NB551141_0945_AH3Y5NBGXF	26126	20208	4302	30	30	30	30	30	1436	30
200408_NB500908_1380_AHFJVVBGXF	26409	20211	4696	30	30	30	30	30	704	648
200408_NB500911_1378_AHFGV3BGXF	30456	21559	7339	30	30	30	30	30	759	649
200409_NB500908_1381_AHF7YMBGXF	87772	20302	5987	50623	9417	30	30	30	704	649
200409_NB500911_1379_AHFFL2BGXF	26462	20882	4020	30	30	30	30	30	705	705
200409_NB500911_1380_AHFFKMBGXF	35380	21594	12227	30	30	30	30	30	1379	30
200409_NB551141_0947_AHFFKWBGXF	31333	22269	7450	30	30	30	30	30	30	1434
200410_NB500908_1382_AHF7Y2BGXF	27586	19702	6325	30	30	30	30	30	761	648
200410_NB500911_1381_AH3YHMBGXF	35061	20940	12675	30	30	30	30	30	648	648
200410_NB551141_0948_AH3YJYBGXF	30734	22176	7112	30	30	30	30	30	647	649
191128_M05267_0358_000000000-CRLGY	18059	16392	0	0	0	0	0	0	1389	278
191129_M02559_0377_000000000-G4LK6	57775	56108	0	278	0	0	0	0	1111	278
191129_M05267_0359_000000000-G4PPJ	61663	59719	0	278	0	0	0	0	1388	278
191202_M02559_0378_000000000-D7JH6	49437	48325	0	0	0	0	0	0	834	278
191202_M05267_0360_000000000-D5T24	80551	79439	0	278	0	0	0	0	555	279
191203_M02559_0379_000000000-G4PBB	58323	56379	0	556	0	0	277	0	834	277
191204_M02559_0380_000000000-G4P58	58327	56938	0	0	0	0	0	0	1111	278
191204_M05267_0361_000000000-CTGBH	18331	16664	0	0	0	0	0	0	1389	278
191205_M02559_0381_000000000-G4PRG	59159	57215	0	278	0	0	0	0	1389	277
191205_M05267_0362_000000000-D5T2H	52769	51936	0	0	0	0	0	0	556	277
191206_M02559_0382_000000000-G4PBD	4172	0	0	278	0	0	556	0	3060	278
191209_M02559_0383_000000000-G4PRN	5278	0	0	277	0	0	0	0	4723	278
191210_M02559_0384_000000000-G4PFC	2779	0	0	278	0	0	556	0	1667	278
191211_M02559_0385_000000000-G4P5L	6725	0	0	1389	0	111	0	0	4948	277
191212_M02559_0386_000000000-G4P5T	8118	0	0	278	0	55	278	56	7341	110
191213_M02559_0387_000000000-G4P5B	2611	0	0	0	0	110	0	0	2279	222
191216_M02559_0388_000000000-G4P54	62272	55321	0	278	0	111	0	0	6451	111
191216_M05267_0370_000000000-D5J3H	51483	49203	0	278	0	111	0	0	1779	112
200120_M02559_0413_000000000-G4T2V	0	0	0	0	0	0	0	0	0	0
200120_M05267_0392_000000000-CRHMB	0	0	0	0	0	0	0	0	0	0
200121_M02559_0414_000000000-G4T38	0	0	0	0	0	0	0	0	0	0
200121_M05267_0393_000000000-D7NFM	0	0	0	0	0	0	0	0	0	0
200122_M02559_0415_000000000-G4V4V	0	0	0	0	0	0	0	0	0	0
200122_M05267_0394_000000000-G52RL	0	0	0	0	0	0	0	0	0	0
200123_M02559_0416_000000000-CRJ2N	0	0	0	0	0	0	0	0	0	0
200123_M05267_0395_000000000-CRGV2	0	0	0	0	0	0	0	0	0	0
200124_M02559_0417_000000000-G4V49	0	0	0	0	0	0	0	0	0	0
200129_M02559_0418_000000000-G4VHJ	29113	27668	0	278	0	55	0	0	1056	56
200130_M02559_0419_000000000-G4V44	57268	55268	0	278	0	55	0	0	1556	111
200130_M05267_0396_000000000-D7KMR	81659	79437	0	555	0	111	0	0	1389	167
200131_M05267_0397_000000000-CVBH6	19448	16948	0	277	0	56	334	0	1500	333
200131_M02559_0420_000000000-G4V4G	57509	55287	0	278	0	55	222	0	1556	111
200201_M05267_0398_000000000-G53J9	63118	60285	0	834	0	111	0	0	1666	222
200203_M02559_0421_000000000-G4TTM	56955	55566	0	278	0	56	0	0	944	111
200204_M02559_0422_000000000-G4V4P	58105	55549	0	556	0	55	0	0	1779	166
200204_M05267_0399_000000000-D7T7L	80879	79436	0	278	0	55	0	0	944	166
200205_M05267_0400_000000000-CVBHD	20335	17224	0	278	0	56	0	0	2665	112
200205_M02559_0423_000000000-G4TTK	57774	55552	0	555	0	55	0	0	1446	166
200206_M02559_0424_000000000-G4V56	58315	55816	0	277	0	55	223	56	1722	166
200207_M02559_0425_000000000-G52ND	57773	55829	0	555	0	57	0	0	1221	111
200207_M05267_0401_000000000-G52YH	62880	60269	0	555	0	57	0	0	1832	167
200210_M02559_0426_000000000-G52PL	58662	56106	0	277	0	56	0	0	2057	166
